CustomerID,customer_name,segment,country,region,state,market
42,Lycoris Saunders,Consumer,United States,West,California,US
91,Brian Dahlen,Consumer,United States,West,California,US
143,Mark Van Huff,Consumer,United States,West,California,US
199,Ed Jacobs,Consumer,United States,West,California,US
218,Liz Carlisle,Consumer,United States,West,California,US
300,Sanjit Chand,Consumer,United States,West,California,US
367,Sue Ann Reed,Consumer,United States,West,California,US
433,Eva Jacobs,Consumer,United States,West,California,US
501,Richard Bierner,Consumer,United States,West,California,US
586,Patrick O'Donnell,Consumer,United States,West,California,US
599,Maurice Satty,Consumer,United States,West,California,US
613,Christina Anderson,Consumer,United States,West,California,US
622,Cindy Stewart,Consumer,United States,West,California,US
650,Guy Armstrong,Consumer,United States,West,California,US
664,Alex Avila,Consumer,United States,West,California,US
682,Kunst Miller,Consumer,United States,West,California,US
814,John Lee,Consumer,United States,West,California,US
842,Benjamin Patterson,Consumer,United States,West,California,US
857,Allen Armold,Consumer,United States,West,California,US
908,Arianne Irving,Consumer,United States,West,California,US
1020,Patrick Gardner,Consumer,United States,West,California,US
1025,Greg Matthias,Consumer,United States,West,California,US
1075,Naresj Patel,Consumer,United States,West,California,US
1091,Cindy Chapman,Consumer,United States,West,California,US
1186,Herbert Flentye,Consumer,United States,West,California,US
1189,Lena Creighton,Consumer,United States,West,California,US
1381,Brosina Hoffman,Consumer,United States,West,California,US
1397,Chuck Magee,Consumer,United States,West,California,US
1517,Mick Crebagga,Consumer,United States,West,California,US
1844,Charles Crestani,Consumer,United States,West,California,US
1845,Roger Demir,Consumer,United States,West,California,US
1877,Ken Lonsdale,Consumer,United States,West,California,US
1899,Giulietta Weimer,Consumer,United States,West,California,US
1953,Ivan Liston,Consumer,United States,West,California,US
2018,Chad Sievert,Consumer,United States,West,California,US
2023,Sonia Sunley,Consumer,United States,West,California,US
2040,Lena Radford,Consumer,United States,West,California,US
2043,Tamara Manning,Consumer,United States,West,California,US
2077,Gene McClure,Consumer,United States,West,California,US
2116,Ben Wallace,Consumer,United States,West,California,US
2326,Zuschuss Donatelli,Consumer,United States,West,California,US
2395,Larry Tron,Consumer,United States,West,California,US
2492,Gary Zandusky,Consumer,United States,West,California,US
2497,Toby Swindell,Consumer,United States,West,California,US
2524,Liz Willingham,Consumer,United States,West,California,US
2637,Nick Radford,Consumer,United States,West,California,US
2693,Erica Smith,Consumer,United States,West,California,US
2730,Sanjit Engle,Consumer,United States,West,California,US
